Community,Notes,Minifigs,Pieces
"2816 own this set, 263 want it","Free with qualifying purchases at shop.LEGO.com, March 2016.",1,
"20 own this set, 23 want it",,,
"316 own this set, 127 want it",Set number not yet confirmed.,4,
"273 own this set, 129 want it",Set number not yet confirmed.,,
"10 own this set, 17 want it",,,
"1 own this set, 6 want it",,,
"8 own this set, 7 want it",,,
"51 own this set, 27 want it",,,
"2 own this set, 24 want it","Available in packs of 8, 12, 16 and 24",,
"2 own this set, 24 want it","Available in packs of 8, 12, 16 and 24. ",,
"3 own this set, 27 want it",,,
"6 own this set, 18 want it",,,
"15 own this set, 16 want it",,,
"6 own this set, 14 want it",,,
"5 own this set, 18 want it",,,
"28 own this set, 32 want it",,,
"14 own this set, 22 want it",,,
"30 own this set, 37 want it",,,
"6 own this set, 14 want it",,,
"7 own this set, 8 want it",,,
"15 own this set, 13 want it",,,
"33 own this set, 21 want it",,,
"10 own this set, 19 want it",,,
"76 own this set, 33 want it",,,
"58 own this set, 32 want it",,,
"85 own this set, 36 want it",,,
"26 own this set, 14 want it",,,
"6 own this set, 18 want it",,,
"7 own this set, 15 want it",,,
"3 own this set, 13 want it",,,
"138 own this set, 68 want it",,,
"51 own this set, 36 want it",,,
"55 own this set, 45 want it",,,
"56 own this set, 41 want it",,,
"32 own this set, 38 want it",,,
"38 own this set, 39 want it",,,
"5 own this set, 26 want it",,,
"7 own this set, 21 want it",,,
"5 own this set, 17 want it",,,
"2 own this set, 21 want it",,,
"5 own this set, 18 want it",,,
"141 own this set, 41 want it",,,
"24 own this set, 29 want it",,,
"79 own this set, 26 want it",,,
"61 own this set, 18 want it",,,
"27 own this set, 14 want it",,,
"34 own this set, 30 want it",,,
"17 own this set, 29 want it",,,
"22 own this set, 35 want it",,,
"49 own this set, 63 want it",,,
"28 own this set, 53 want it",,,
"16 own this set, 44 want it",,,
"113 own this set, 405 want it","[NA] Free with qualifying purchases at shop.LEGO.com, December 2016",,
"1 own this set, 17 want it",,,
"9 own this set, 9 want it",,,
"25 own this set, 183 want it",,,
"12 own this set, 23 want it",Contains 30 sets,,
"10 own this set, 28 want it",Contains 30 sets,,
"368 own this set, 687 want it","Available with qualifying purchases at invitation-only VIP ""May the Fourth"" events in LEGO brand stores on April 30, 2016.",,
"28 own this set, 41 want it",,,
"96 own this set, 162 want it",,,
"104 own this set, 59 want it","Free with Bionicle Comic issue 1, May 2016.",,
"67 own this set, 43 want it","Free with Bionicle Comic issue 2, September 2016",,
"18 own this set, 55 want it","LEGO Store Grand Opening Exclusive Set, Bordeaux, France, June 2016. Free with minimum purchase. Limited to 500 sets",,
"515 own this set, 177 want it",,,
258 want this set,This set has not yet been released.,,
"148 own this set, 178 want it","[UK] Free with Issue 3 of Elves magazine, on sale April 13th 2016",,
"73 own this set, 77 want it",,,
"101 own this set, 68 want it","[UK] Two out of a small selection of Friends foil packs including this one were cover mounted on Issue 26 of Friends Magazine, 29th June - 26th of July 2016.",,
"114 own this set, 135 want it",,,
"114 own this set, 113 want it",,,
"132 own this set, 126 want it",,,
"105 own this set, 110 want it",,,
"97 own this set, 81 want it",,,
"81 own this set, 99 want it",,,
"109 own this set, 78 want it",,,
"60 own this set, 34 want it",,,
"67 own this set, 50 want it",,,
"57 own this set, 41 want it",,,
"19 own this set, 18 want it",,,
"0 own this set, 0 want it",,,
"8 own this set, 37 want it","[US] Available at a special San Francisco Giants baseball event, 30th July 2016",,
"851 own this set, 332 want it",,,
"117 own this set, 204 want it",,,
"188 own this set, 186 want it",,,
"249 own this set, 232 want it",,,
"61 own this set, 125 want it",,,
"5 own this set, 23 want it",,,
"33 own this set, 257 want it",Author: Warren Elsmore,,
"0 own this set, 21 want it",,,
"30 own this set, 218 want it",Author: Warren Elsmore,,
"6 own this set, 105 want it",Author: Warren Elsmore,,
"8 own this set, 113 want it",Author: Warren Elsmore,,
"14 own this set, 254 want it",,,
"468 own this set, 335 want it",,1,
"67 own this set, 143 want it",,,
"4 own this set, 81 want it",Author: Christoph Bartneck,,
"8 own this set, 85 want it",Author: Christoph Bartneck,,
"6 own this set, 64 want it",Author: Christoph Bartneck,,
"3 own this set, 58 want it",Author: Christoph Bartneck,,
"32 own this set, 205 want it",,,
"11 own this set, 130 want it",,,
"27 own this set, 93 want it",,,
"53 own this set, 147 want it",Author: Chris McVeigh,,
"18 own this set, 101 want it",,,
"10 own this set, 94 want it",,,
"4 own this set, 166 want it",,,
"68 own this set, 273 want it",Author: Thomas Poulsom,,
"5 own this set, 42 want it",Author: Warren Elsmore,,
"2 own this set, 26 want it",,,
"2 own this set, 24 want it",,,
"2 own this set, 26 want it",,,
"1 own this set, 44 want it",,,
"27 own this set, 119 want it",Author: Holder Matthes,,
"8 own this set, 43 want it",Author:Joachim Klang,,
"19 own this set, 87 want it",[UK] 275 given away at the opening of the Leicester Square brand ,,
"4 own this set, 28 want it",Contains 30 sets,,
"568 own this set, 115 want it","[EU] Free with issue 1 of Nexo Knights magazine, February 2016.",,
"318 own this set, 121 want it","[EU] Free with issue 2 of Nexo Knights magazine, March 2016.",,
"377 own this set, 90 want it","[EU] Free with issue 3 of Nexo Knights magazine, April 2016.",,
"252 own this set, 115 want it","[EU] Free with issue 4 of Nexo Knights magazine, May 2016.",,
"365 own this set, 93 want it","[EU] Free with issue 5 of Nexo Knights magazine, June 2016.",,
"207 own this set, 59 want it",,,
"153 own this set, 69 want it",,,
"221 own this set, 50 want it",,,
"104 own this set, 57 want it",,,
"59 own this set, 29 want it",,,
"348 own this set, 99 want it","[UK] Free with issue 9 of Ninjago magazine, January 2016",,
"310 own this set, 126 want it","[UK] Free with issue 10 of Ninjago magazine, 2nd - 29th March 2016",,
"324 own this set, 91 want it","[UK] Free with issue 11 of Ninjago magazine, 30th March - 3rd May 2016",,
"317 own this set, 91 want it",,,
"192 own this set, 70 want it",,,
"247 own this set, 85 want it",,,
"218 own this set, 52 want it",,,
"161 own this set, 50 want it",,,
"189 own this set, 50 want it",,,
"162 own this set, 43 want it",,,
"58 own this set, 20 want it",,,
"0 own this set, 0 want it",,,
"36 own this set, 78 want it","Given away at the LEGO booth at New York Comic Con, October 2016",,
"14 own this set, 34 want it","LEGO Store Grand Opening Exclusive Set, Paris Forum Des Halles, France, September 2016. Free with minimum purchase. Limited to 500 sets",,
"6 own this set, 38 want it",[US] Available on August 31st 2016 at the Red Sox's ground in Boston,,
"98 own this set, 426 want it",,,
"97 own this set, 476 want it",,,
"12 own this set, 69 want it","[SE] Given away with qualifying purchases in the Stockholm brand store, May 2016.",,
"851 own this set, 351 want it","[UK/EU] Free with Star Wars comic, January 2016.",,
"652 own this set, 255 want it","[UK/EU] Free with Star Wars comic, February2016.",,
"633 own this set, 209 want it","[UK/EU] Free with LEGO Star Wars magazine, March 2016.",,
"612 own this set, 284 want it","[UK/EU] Free with Star Wars comic, April 2016",,
"483 own this set, 205 want it","[UK/EU] Free with Star Wars comic, May 2016",,
"577 own this set, 256 want it","[UK/EU] Free with Star Wars comic, June 2016",,
"484 own this set, 168 want it","[EU] Free with Star Wars comic, July 2016",,
"368 own this set, 164 want it",,,
"351 own this set, 155 want it",,,
"303 own this set, 117 want it",,,
"240 own this set, 95 want it",,,
"46 own this set, 48 want it",,,
"4 own this set, 75 want it",Comes with six exclusive magnets,,
"83 own this set, 26 want it","[US] In-store build in Toys R Us, August 2016",,
"101 own this set, 92 want it",[US/CA] Toys R Us in-store build September 2016,,
"369 own this set, 221 want it","[US/UK] Toys R Us in-store build, May the Fourth weekend 2016.",,
"110 own this set, 94 want it",[US/CA] Toys R Us in-store build September 2016,,
"192 own this set, 156 want it","[US] Toys R Us in-store build, February 2016.",,
"63 own this set, 46 want it","[US] Toys R Us In-store build, June 2016",,
